region,n,x_min,x_max,x_mean,x_std,y_mean,y_std,z_mean,z_std,dx_mean,dx_std
y0_z0,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,383.455,0.0,100.0,0.0
y0_z1,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1152.3649,0.00012207031,100.0,0.0
y0_z2,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1921.2749,0.00012207031,100.0,0.0
y1_z0,34,100.0,3400.0,1750.0,981.07086,3071.4,0.0,383.455,0.0,100.0,0.0
y1_z1,34,100.0,3400.0,1750.0,981.07086,3071.4,0.0,1152.3649,0.00012207031,100.0,0.0
y1_z2,34,100.0,3400.0,1750.0,981.07086,3071.4,0.0,1921.2749,0.00012207031,100.0,0.0
y2_z0,34,100.0,3400.0,1750.0,981.07086,5068.267,0.0,383.455,0.0,100.0,0.0
y2_z1,34,100.0,3400.0,1750.0,981.07086,5068.267,0.0,1152.3649,0.00012207031,100.0,0.0
y2_z2,34,100.0,3400.0,1750.0,981.07086,5068.267,0.0,1921.2749,0.00012207031,100.0,0.0
ALL,306,100.0,3400.0,1750.0,981.07086,3071.4001,1630.4352,1152.365,627.8124,100.0,0.0
