position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
X100_Y300_Z100,0,372.13885498046875,393.0,2801.6699999999996,3000.0,1000.0,393.0,2801.6699999999996,3002.4917966715934,1003.0582690577668,0.0,0.0,2.49179667159342,3.058269057766779
X100_Y300_Z100,1,21320.60546875,395.8430713871527,2797.1210857805554,3000.0,1000.0,395.0,2798.47,2998.4918993513984,1001.4609370165326,-0.8430713871526905,1.3489142194443957,-1.5081006486016122,1.4609370165326254
X100_Y300_Z100,2,21793.365234375,396.1865090458307,2796.571585526671,3000.0,1000.0,397.0,2795.2699999999995,2998.4918993513984,1001.4609370165326,0.8134909541693105,-1.3015855266712606,-1.5081006486016122,1.4609370165326254
X100_Y300_Z100,3,724.1192626953125,399.0,2792.0699999999997,3000.0,1000.0,399.0,2792.0699999999997,2998.4918993513984,1001.4609370165325,0.0,0.0,-1.5081006486016122,1.4609370165325117
X10_Y300_Z100,0,3086.085693359375,2393.5874732659827,-399.26995722557285,3000.0,1000.0,2393.0,-398.3300000000004,3000.491847731548,999.3844454304021,-0.5874732659826805,0.9399572255724706,0.49184773154820505,-0.6155545695978617
X10_Y300_Z100,1,14527.533203125,2395.253458496846,-401.93553359495445,3000.0,1000.0,2395.0,-401.5300000000002,3000.491847731548,999.3844454304021,-0.2534584968461786,0.40553359495424957,0.49184773154820505,-0.6155545695978617
X10_Y300_Z100,2,13336.6845703125,2396.764950408552,-404.3539206536839,3000.0,1000.0,2397.0,-404.7300000000005,3000.491847731548,999.3844454304021,0.23504959144793247,-0.376079346316601,0.49184773154820505,-0.6155545695978617
X110_Y300_Z100,0,7897.849609375,1769.5560905728444,599.1802550834486,3000.0,1000.0,1769.0,600.0699999999997,2998.4918986577704,999.8636047270405,-0.5560905728443686,0.8897449165510807,-1.5081013422295655,-0.13639527295947573
X110_Y300_Z100,1,19246.98046875,1771.0140035052066,596.8475943916692,3000.0,1000.0,1771.0,596.8699999999994,2998.4918986577704,999.8636047270405,-0.014003505206574118,0.02240560833024574,-1.5081013422295655,-0.13639527295947573
X110_Y300_Z100,2,7362.861328125,1772.458081193852,594.5370700898366,3000.0,1000.0,1773.0,593.6699999999996,2998.4918986577704,999.8636047270405,0.5419188061480327,-0.8670700898369432,-1.5081013422295655,-0.13639527295947573
X120_Y300_Z100,0,0.0,1705.7410199066214,701.2843681494055,3000.0,1000.0,1705.0,702.4699999999998,2996.8919421810033,996.8406387941135,-0.7410199066214318,1.1856318505942909,-3.1080578189967127,-3.159361205886512
X120_Y300_Z100,1,13464.9833984375,1707.4708794883213,698.5165928186857,3000.0,1000.0,1707.0,699.2699999999995,3002.4917968053264,998.905286133764,-0.4708794883213159,0.7534071813138326,2.4917968053264303,-1.0947138662360203
X120_Y300_Z100,2,18448.498046875,1708.8383942952908,696.3285691275346,3000.0,1000.0,1709.0,696.0699999999997,3002.4917968053264,998.905286133764,0.1616057047092454,-0.2585691275348836,2.4917968053264303,-1.0947138662360203
X120_Y300_Z100,3,3384.869140625,1710.3679041007188,693.8813534388496,3000.0,1000.0,1711.0,692.8699999999994,3002.4917968053264,998.905286133764,0.6320958992812393,-1.0113534388501648,2.4917968053264303,-1.0947138662360203
X130_Y300_Z100,0,0.0,1643.7096643027862,800.5345371155418,3000.0,1000.0,1643.0,801.6699999999996,2998.491901107112,995.6906563095006,-0.7096643027862228,1.1354628844578656,-1.5080988928880288,-4.309343690499418
X130_Y300_Z100,1,16282.35546875,1645.3554628422403,797.9012594524152,3000.0,1000.0,1645.0,798.4699999999998,2998.4918986577704,999.8636047270405,-0.3554628422402857,0.568740547584639,-1.5081013422295655,-0.13639527295947573
X130_Y300_Z100,2,15721.1806640625,1646.6684550384398,795.8004719384958,3000.0,1000.0,1647.0,795.2699999999995,2998.4918986577704,999.8636047270405,0.33154496156021196,-0.5304719384962482,-1.5081013422295655,-0.13639527295947573
X130_Y300_Z100,3,304.9532775878906,1648.2981967395372,793.1928852167403,3000.0,1000.0,1649.0,792.0699999999997,2998.491901107112,995.6906563095006,0.7018032604628388,-1.122885216740542,-1.5080988928880288,-4.309343690499418
X130_Y300_Z100,4,126.54015350341797,1648.2981967395372,793.1928852167403,3000.0,1000.0,1649.0,792.0699999999997,3006.4916923745805,1001.8242165932364,0.7018032604628388,-1.122885216740542,6.4916923745804525,1.8242165932364287
