position,blob_index,val,reason,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z
X160_Y300_Z100,0,0.0,no_time_overlap,1458.540625,1096.8049999999994,3000.0,1000.0,1455.0,1102.4699999999998,1682.5259101718746,994.7523851348055
X250_Y300_Z100,0,666.088623046875,no_time_overlap,896.040625,1996.8049999999998,3000.0,1000.0,893.0,2001.6699999999996,3010.4915901921936,994.7523027132456
X250_Y300_Z100,1,861.9383544921875,no_time_overlap,896.040625,1996.8049999999998,3000.0,1000.0,893.0,2001.6699999999996,2998.491900178759,998.9052863820217
X280_Y300_Z100,2,3833.26904296875,no_time_overlap,708.540625,2296.805,3000.0,1000.0,711.0,2292.87,2998.491900178759,998.9052863820217
X300_Y300_Z100,0,4220.3212890625,no_time_overlap,583.540625,2496.805,3000.0,1000.0,581.0,2500.87,3002.7163389033094,1001.4710001845608
X310_Y300_Z100,0,9335.6591796875,no_time_overlap,521.040625,2596.805,3000.0,1000.0,519.0,2600.0699999999997,2997.3833657706105,1001.4710015675637
X320_Y300_Z100,2,4631.76220703125,no_time_overlap,458.540625,2696.805,3000.0,1000.0,461.0,2692.87,2994.183450019061,1001.4710013948827
X330_Y300_Z100,0,372.13885498046875,no_time_overlap,396.040625,2796.805,3000.0,1000.0,393.0,2801.6699999999996,3002.4917966715934,1003.0582690577668
X330_Y300_Z100,3,724.1192626953125,no_time_overlap,396.040625,2796.805,3000.0,1000.0,399.0,2792.0699999999997,2998.4918993513984,1001.4609370165325
X340_Y300_Z100,0,4287.7470703125,no_time_overlap,333.540625,2896.805,3000.0,1000.0,331.0,2900.87,2998.4918974255406,1001.4860964551447
X340_Y300_Z100,2,16812.232421875,no_time_overlap,333.540625,2896.805,3000.0,1000.0,335.0,2894.47,3002.8003471430493,1001.471000189072
X70_Y300_Z100,3,0.0,no_time_overlap,2021.040625,196.80499999999938,3000.0,1000.0,2025.0,190.4699999999998,3003.1060802059947,998.0941410085841
