position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
depo001_x2797mm,0,23016.82421875,395.0,2798.47,3000.0,1000.0,395.0,2798.47,2998.4918993513984,1001.4609370165326,0.0,0.0,-1.5081006486016122,1.4609370165326254
depo002_x2697mm,0,16558.310546875,457.0,2699.2699999999995,3000.0,1000.0,457.0,2699.2699999999995,2998.4918993513984,1001.4609370165326,0.0,0.0,-1.5081006486016122,1.4609370165326254
depo002_x2697mm,1,23804.091796875,459.0,2696.0699999999997,3000.0,1000.0,459.0,2696.0699999999997,2998.4918993513984,1001.4609370165326,0.0,0.0,-1.5081006486016122,1.4609370165326254
depo003_x2597mm,1,24126.751953125,521.0,2596.87,3000.0,1000.0,521.0,2596.87,2997.3833657706105,1001.4710015675637,0.0,0.0,-2.616634229389547,1.4710015675636896
depo003_x2597mm,2,7832.30419921875,523.0,2593.6699999999996,3000.0,1000.0,523.0,2593.6699999999996,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo004_x2497mm,1,22291.39453125,583.0,2497.6699999999996,3000.0,1000.0,583.0,2497.6699999999996,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo004_x2497mm,2,12945.166015625,585.0,2494.47,3000.0,1000.0,585.0,2494.47,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo005_x2397mm,0,18727.4765625,645.0,2398.47,3000.0,1000.0,645.0,2398.47,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo005_x2397mm,1,16473.521484375,647.0,2395.2699999999995,3000.0,1000.0,647.0,2395.2699999999995,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo006_x2297mm,0,14707.34765625,707.0,2299.2699999999995,3000.0,1000.0,707.0,2299.2699999999995,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo006_x2297mm,1,19255.169921875,709.0,2296.0699999999997,3000.0,1000.0,709.0,2296.0699999999997,3002.8003471430493,1001.471000189072,0.0,0.0,2.8003471430492937,1.471000189072015
depo007_x2197mm,0,10536.9833984375,769.0,2200.0699999999997,3000.0,1000.0,769.0,2200.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo007_x2197mm,1,23881.533203125,771.0,2196.87,3000.0,1000.0,771.0,2196.87,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo007_x2197mm,2,8973.3515625,773.0,2193.6699999999996,3000.0,1000.0,773.0,2193.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo008_x2097mm,0,5547.3974609375,831.0,2100.87,3000.0,1000.0,831.0,2100.87,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo008_x2097mm,1,23401.244140625,833.0,2097.6699999999996,3000.0,1000.0,833.0,2097.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo008_x2097mm,2,13422.625,835.0,2094.47,3000.0,1000.0,835.0,2094.47,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo009_x1997mm,1,20562.04296875,895.0,1998.4699999999998,3000.0,1000.0,895.0,1998.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo009_x1997mm,2,18565.78125,897.0,1995.2699999999998,3000.0,1000.0,897.0,1995.2699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo010_x1897mm,0,16639.90234375,957.0,1899.2699999999998,3000.0,1000.0,957.0,1899.2699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo010_x1897mm,1,21146.482421875,959.0,1896.0699999999997,3000.0,1000.0,959.0,1896.0699999999997,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo010_x1897mm,2,3578.18212890625,961.0,1892.8699999999997,3000.0,1000.0,961.0,1892.8699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo011_x1797mm,0,10735.4326171875,1019.0,1800.0699999999997,3000.0,1000.0,1019.0,1800.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo011_x1797mm,1,22648.46484375,1021.0,1796.8699999999997,3000.0,1000.0,1021.0,1796.8699999999997,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo011_x1797mm,2,8372.390625,1023.0,1793.6699999999996,3000.0,1000.0,1023.0,1793.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo012_x1697mm,0,5346.544921875,1081.0,1700.8699999999997,3000.0,1000.0,1081.0,1700.8699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo012_x1697mm,1,21521.90234375,1083.0,1697.6699999999996,3000.0,1000.0,1083.0,1697.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo012_x1697mm,2,12964.626953125,1085.0,1694.4699999999998,3000.0,1000.0,1085.0,1694.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
