position,blob_index,val,reason,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z
depo000_x2897mm,0,4885.890625,no_time_overlap,333.540625,2896.805,3000.0,1000.0,331.0,2900.87,2998.4918974255406,1001.4860964551447
depo000_x2897mm,2,15690.884765625,no_time_overlap,333.540625,2896.805,3000.0,1000.0,335.0,2894.47,3002.8003471430493,1001.471000189072
depo002_x2697mm,2,3579.725830078125,no_time_overlap,458.540625,2696.805,3000.0,1000.0,461.0,2692.87,2998.3868871258655,1001.4860964495057
depo003_x2597mm,0,10084.671875,no_time_overlap,521.040625,2596.805,3000.0,1000.0,519.0,2600.0699999999997,3002.8003471430493,1001.471000189072
depo004_x2497mm,0,4886.47607421875,no_time_overlap,583.540625,2496.805,3000.0,1000.0,581.0,2500.87,3002.8003471430493,1001.471000189072
depo005_x2397mm,2,0.0,no_time_overlap,646.040625,2396.805,3000.0,1000.0,649.0,2392.0699999999997,2994.4920020312034,999.8636049752981
depo006_x2297mm,2,2849.902099609375,no_time_overlap,708.540625,2296.805,3000.0,1000.0,711.0,2292.87,2998.000471191169,1001.4710004869814
depo009_x1997mm,0,1633.0389404296875,no_time_overlap,896.040625,1996.8049999999998,3000.0,1000.0,893.0,2001.6699999999996,2998.491900178759,998.9052863820217
depo014_x1497mm,0,0.0,no_time_overlap,1208.540625,1496.8049999999996,3000.0,1000.0,1205.0,1502.4699999999998,3010.4915898972586,998.5356595748235
depo018_x1097mm,0,933.6265258789062,no_time_overlap,1458.540625,1096.8049999999994,3000.0,1000.0,1455.0,1102.4699999999998,3000.491847731548,999.3844454304021
